x_value,total_1,total_2
0,1000,1000
1,999,1003
2,1004,1000
3,1008,1004
4,1004,1005
5,1006,1008
6,1002,1011
7,1000,1011
8,999,1006
9,996,1002
10,990,1002
11,987,1003
12,986,1003
13,982,1007
14,989,1003
15,994,1008
16,991,1004
17,996,1004
18,997,999
19,1001,1001
20,1007,997
21,1003,993
22,1006,999
23,1014,1005
24,1015,1006
25,1016,1009
26,1010,1013
27,1009,1016
28,1013,1012
29,1018,1016
30,1018,1012
31,1022,1008
32,1025,1011
33,1030,1016
34,1032,1014
35,1029,1016
36,1024,1018
37,1030,1019
38,1029,1018
39,1028,1016
40,1031,1014
41,1029,1017
42,1033,1018
43,1041,1013
44,1046,1009
45,1049,1012
46,1044,1007
47,1040,1006
48,1035,1004
49,1033,1001
50,1027,1000
51,1032,995
52,1029,991
53,1024,996
54,1023,993
55,1026,991
56,1024,997
57,1024,1003
58,1023,1004
59,1019,1000
60,1016,998
61,1020,995
62,1016,996
63,1010,999
64,1007,996
65,1009,994
66,1010,995
67,1018,991
68,1016,995
69,1015,1001
70,1022,997
71,1021,996
72,1025,993
73,1023,995
74,1017,999
